"","sofifa_id","player_url","short_name","age","height_cm","weight_kg","nationality","club","overall","potential","value_eur","wage_eur","player_positions","preferred_foot","weak_foot","skill_moves","work_rate","release_clause_eur","player_tags","team_position","team_jersey_number","loaned_from","joined","contract_valid_until","pace","shooting","passing","dribbling","defending","physic","gk_diving","gk_handling","gk_kicking","gk_reflexes","gk_speed","gk_positioning","player_traits","attacking_crossing","attacking_finishing","attacking_heading_accuracy","attacking_short_passing","attacking_volleys","skill_dribbling","skill_curve","skill_fk_accuracy","skill_long_passing","skill_ball_control","movement_acceleration","movement_sprint_speed","movement_agility","movement_reactions","movement_balance","power_shot_power","power_jumping","power_stamina","power_strength","power_long_shots","mentality_aggression","mentality_interceptions","mentality_positioning","mentality_vision","mentality_penalties","mentality_composure","defending_marking","defending_standing_tackle","defending_sliding_tackle","goalkeeping_diving","goalkeeping_handling","goalkeeping_kicking","goalkeeping_positioning","goalkeeping_reflexes"
"59",234573,"https://sofifa.com/player/234573/aurelio-gabriel-ulineia-buta/20/159586","Aurélio Buta",22,172,72,"Portugal","Royal Antwerp FC",73,80,5000000,9000,"RB, RM","Right",3,4,"High/Medium",8500000,"","RB",30,"","2018-07-01",2021,89,59,65,76,66,66,NA,NA,NA,NA,NA,NA,"Power Free-Kick, Early Crosser",78,56,42,65,49,76,63,41,63,73,91,88,79,72,84,72,82,78,59,56,66,69,69,58,53,68,68,68,69,9,5,13,9,10
"60",237086,"https://sofifa.com/player/237086/min-jae-kim/20/159586","Kim Min Jae",22,190,78,"Korea Republic","Beijing Sinobo Guoan FC",73,80,5000000,12000,"CB","Right",2,2,"Low/High",9000000,"","LCB",2,"","2019-01-29",2021,72,31,48,45,72,80,NA,NA,NA,NA,NA,NA,"",25,23,75,59,24,34,21,23,59,49,71,73,70,68,65,44,72,68,87,37,78,74,37,56,30,64,66,75,71,13,7,11,14,11
"61",240060,"https://sofifa.com/player/240060/max-aarons/20/159586","M. Aarons",19,178,73,"England","Norwich City",72,85,5500000,15000,"RB","Right",3,3,"High/Medium",14400000,"","RB",2,"","2017-07-01",2024,83,41,60,73,70,64,NA,NA,NA,NA,NA,NA,"Early Crosser",65,41,53,68,41,71,50,32,56,72,85,81,82,67,79,46,52,79,56,36,68,68,64,53,27,75,74,73,68,11,11,7,9,8
"62",231247,"https://sofifa.com/player/231247/braian-cufre/20/159586","B. Cufré",22,179,82,"Argentina","Vélez Sarsfield",72,83,4800000,9000,"LB, LWB","Left",3,3,"Medium/Medium",8200000,"","LB",3,"","2015-09-30",2021,79,62,69,74,67,76,NA,NA,NA,NA,NA,NA,"Argues with Officials",77,56,55,67,57,75,82,58,68,73,77,80,77,67,71,81,73,90,70,61,72,66,57,65,55,64,73,67,63,6,7,12,13,6
"63",231292,"https://sofifa.com/player/231292/jamal-lewis/20/159586","J. Lewis",21,177,70,"Northern Ireland","Norwich City",72,83,4900000,21000,"LB","Left",3,3,"High/Medium",10700000,"","LB",12,"","2016-07-01",2023,79,51,60,70,70,66,NA,NA,NA,NA,NA,NA,"Dives Into Tackles (CPU AI Only)",64,50,54,65,39,70,56,40,61,69,78,80,74,67,74,60,72,86,61,44,51,69,70,54,38,79,72,73,68,14,7,5,5,13
"64",231355,"https://sofifa.com/player/231355/ayrton-lucas-dantas-de-medeiros/20/159586","Ayrton",22,180,72,"Brazil","Spartak Moscow",72,83,4800000,1000,"LB","Left",2,3,"Medium/Medium",11600000,"","LB",6,"","2019-01-23",2024,84,53,63,75,66,76,NA,NA,NA,NA,NA,NA,"Argues with Officials",71,48,60,68,46,77,68,56,56,71,86,83,77,70,76,66,80,89,70,56,72,62,59,54,44,70,67,69,68,5,5,14,13,7
"65",246748,"https://sofifa.com/player/246748/aihen-munoz-capellan/20/159586","Aihen Muñoz",21,175,72,"Spain","Real Sociedad",72,83,4900000,12000,"LB, LW","Left",3,3,"High/Medium",11200000,"","LB",12,"","2017-07-01",2022,75,53,66,71,72,65,NA,NA,NA,NA,NA,NA,"",64,49,65,69,45,72,63,29,75,68,76,75,68,77,73,55,65,71,66,60,55,72,70,66,36,72,75,72,66,10,9,10,15,15
"66",222428,"https://sofifa.com/player/222428/juan-komar/20/159586","J. Komar",22,189,82,"Argentina","Club Atlético Talleres",72,82,4600000,10000,"CB","Right",2,2,"Low/Medium",7800000,"","RCB",6,"","2016-07-30",2020,54,33,49,45,73,77,NA,NA,NA,NA,NA,NA,"",29,27,75,66,35,35,30,37,57,58,48,58,48,68,33,50,63,79,82,28,64,71,30,42,49,53,73,74,67,6,7,6,15,8
"67",225974,"https://sofifa.com/player/225974/scott-mckenna/20/159586","S. McKenna",22,189,80,"Scotland","Aberdeen",72,82,4600000,5000,"CB","Left",3,2,"Medium/High",8900000,"#Strength","LCB",5,"","2017-07-12",2023,61,33,44,44,70,84,NA,NA,NA,NA,NA,NA,"Avoids Using Weaker Foot, Long Passer (CPU AI Only)",41,22,70,54,26,40,28,31,50,48,57,64,34,66,61,62,77,71,90,32,85,67,16,31,44,58,70,71,69,11,7,11,6,9
"68",236723,"https://sofifa.com/player/236723/fode-ballo-toure/20/159586","F. Ballo-Touré",22,182,73,"France","AS Monaco",72,82,4500000,19000,"LB, LM","Left",3,3,"High/Low",9500000,"","LB",2,"","2019-01-10",2023,82,46,69,71,68,67,NA,NA,NA,NA,NA,NA,"",73,42,58,74,39,72,68,49,65,70,85,80,72,64,70,54,59,78,63,43,65,68,67,64,53,63,69,70,69,14,14,7,11,8
"69",240359,"https://sofifa.com/player/240359/omar-alderete/20/159586","O. Alderete",22,188,77,"Paraguay","FC Basel 1893",72,82,4600000,15000,"CB, LB","Left",3,2,"Medium/High",7800000,"","LCB",6,"","2019-07-01",2023,62,59,62,61,71,78,NA,NA,NA,NA,NA,NA,"",62,58,71,70,47,62,52,41,72,63,59,65,51,70,50,63,78,78,84,59,64,76,68,47,45,55,71,67,70,7,13,14,13,15
"70",221323,"https://sofifa.com/player/221323/jerome-junior-onguene/20/159586","J. Onguéné",21,186,78,"Cameroon","FC Red Bull Salzburg",72,81,4400000,16000,"CB","Right",3,2,"Medium/Medium",7500000,"","LCB",6,"","2018-07-01",2022,68,30,40,55,72,77,NA,NA,NA,NA,NA,NA,"",32,24,75,54,27,50,28,33,34,54,67,69,75,64,64,45,88,71,84,24,65,67,26,32,47,58,73,75,69,8,14,12,13,12
"71",234178,"https://sofifa.com/player/234178/luis-abram/20/159586","L. Abram",23,181,76,"Peru","Vélez Sarsfield",72,81,4400000,9000,"CB","Left",3,2,"Medium/Medium",7400000,"","LCB",29,"","2018-01-18",2021,63,41,54,55,72,74,NA,NA,NA,NA,NA,NA,"",43,39,73,69,35,53,49,33,51,57,61,65,55,60,49,51,91,75,73,37,69,76,43,45,35,57,70,73,69,10,9,13,6,12
"72",219087,"https://sofifa.com/player/219087/sebastian-vegas/20/159586","S. Vegas",22,182,80,"Chile","Monarcas Morelia",72,80,4200000,7000,"CB, LB","Left",3,2,"Medium/High",7900000,"","LCB",6,"","2016-06-27",2024,74,52,55,63,69,77,NA,NA,NA,NA,NA,NA,"Inflexible",55,48,67,68,34,64,54,28,65,66,71,77,60,66,47,65,87,75,78,55,75,70,54,33,47,69,67,71,70,7,10,10,9,9
"73",223671,"https://sofifa.com/player/223671/stefan-posch/20/159586","S. Posch",22,188,76,"Austria","TSG 1899 Hoffenheim",72,80,4200000,18000,"CB","Right",3,2,"Medium/Medium",7900000,"","RCB",38,"","2017-02-18",2023,59,29,43,38,75,68,NA,NA,NA,NA,NA,NA,"Injury Prone",25,23,70,63,28,28,26,24,45,44,56,62,42,64,58,42,72,63,73,25,59,75,29,32,38,66,74,78,74,6,8,7,6,8
"74",234100,"https://sofifa.com/player/234100/gonzalo-escobar/20/159586","G. Escobar",22,171,70,"Argentina","Club Atlético Colón",72,80,4100000,8000,"LB","Left",2,3,"Medium/High",7000000,"","LB",31,"","2018-01-24",2020,81,43,64,71,66,75,NA,NA,NA,NA,NA,NA,"",70,36,48,71,36,71,47,35,63,70,82,81,75,66,79,45,76,83,72,57,70,69,52,60,47,56,64,71,71,7,14,15,10,9
"75",237841,"https://sofifa.com/player/237841/michael-murillo/20/159586","M. Murillo",23,183,77,"Panama","New York Red Bulls",72,80,4100000,5000,"RB, CB","Right",3,3,"High/High",7000000,"","RB",62,"","2014-01-01",2020,81,49,63,70,68,79,NA,NA,NA,NA,NA,NA,"Early Crosser",65,35,62,67,35,70,64,49,64,69,80,82,79,67,70,67,89,84,75,59,80,64,62,56,62,60,70,71,70,5,15,12,11,14
"76",213017,"https://sofifa.com/player/213017/ben-davies/20/159586","B. Davies",23,185,74,"England","Preston North End",72,79,3900000,16000,"CB","Left",3,2,"Medium/Medium",8300000,"","LCB",6,"","2013-01-01",2021,71,39,55,60,72,74,NA,NA,NA,NA,NA,NA,"",61,36,70,65,43,57,44,40,63,62,73,70,61,67,63,42,76,74,77,39,66,69,33,33,48,68,74,73,70,6,15,10,15,6
"77",213917,"https://sofifa.com/player/213917/fabio-rafael-rodrigues-cardoso/20/159586","Fábio Cardoso",25,187,79,"Portugal","Santa Clara",72,79,3900000,4000,"CB","Right",2,2,"Medium/High",9000000,"","LCB",4,"","2018-07-30",2022,61,32,47,59,70,78,NA,NA,NA,NA,NA,NA,"Avoids Using Weaker Foot, Long Passer (CPU AI Only)",32,22,72,62,26,53,33,29,49,64,62,60,64,73,57,60,76,75,79,25,79,72,32,41,39,66,64,74,71,7,14,12,15,8
"78",215433,"https://sofifa.com/player/215433/francesco-vicari/20/159586","F. Vicari",24,190,80,"Italy","SPAL",72,79,3900000,9000,"CB","Right",2,2,"Low/High",7900000,"","RCB",23,"","2016-08-11",2022,34,27,49,45,74,69,NA,NA,NA,NA,NA,NA,"",32,21,69,66,30,36,23,28,57,56,35,34,45,68,42,44,72,51,79,21,68,68,24,41,35,62,74,78,76,16,11,7,10,13
"79",238305,"https://sofifa.com/player/238305/ignacio-vidal-miralles/20/159586","Nacho Vidal",24,180,75,"Spain","CA Osasuna",72,79,3900000,16000,"RB, RWB","Right",3,3,"High/Medium",9300000,"","RB",2,"","2018-07-13",2022,76,55,67,69,67,66,NA,NA,NA,NA,NA,NA,"",75,60,65,72,39,69,70,32,65,71,74,77,67,70,68,59,64,71,66,49,59,66,61,59,36,68,58,73,75,8,8,7,11,9
"80",239808,"https://sofifa.com/player/239808/michal-sacek/20/159586","M. Sáček",22,178,69,"Czech Republic","Sparta Praha",72,79,4300000,1000,"CM, CDM, RB","Right",4,3,"High/High",10300000,"","RB",16,"","2016-07-01",2023,73,59,69,73,64,69,NA,NA,NA,NA,NA,NA,"",63,57,56,73,55,73,63,52,71,73,75,72,75,70,73,62,74,78,64,63,69,69,62,71,59,69,62,65,63,12,14,14,12,5
"81",240988,"https://sofifa.com/player/240988/denis-vavro/20/159586","D. Vavro",23,190,76,"Slovakia","Lazio",72,79,3900000,23000,"CB","Right",3,2,"Medium/Medium",7500000,"","RCB",93,"","2019-07-04",2024,68,49,51,56,70,79,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",26,37,73,69,36,52,25,30,65,63,63,72,50,58,64,69,73,67,87,58,75,68,48,48,52,67,70,70,69,13,12,14,12,13
"82",243715,"https://sofifa.com/player/243715/william-saliba/20/159586","W. Saliba",18,192,85,"France","AS Saint-Étienne",71,88,4600000,5000,"CB","Right",3,2,"High/Medium",NA,"","RCB",4,"Arsenal","",2020,63,29,57,55,71,72,NA,NA,NA,NA,NA,NA,"",41,22,67,70,32,53,45,35,52,58,62,64,49,68,60,49,74,68,76,20,65,76,35,61,47,65,70,72,69,7,10,6,8,11
"83",221600,"https://sofifa.com/player/221600/matt-clarke/20/159586","M. Clarke",22,188,74,"England","Derby County",71,83,3900000,14000,"CB","Left",3,3,"High/Medium",NA,"","LCB",16,"Brighton & Hove Albion","",2020,55,37,54,59,69,81,NA,NA,NA,NA,NA,NA,"Long Passer (CPU AI Only)",45,30,69,60,36,60,36,36,60,58,51,58,47,63,66,57,73,73,87,33,78,64,49,56,34,72,70,70,68,11,6,14,12,11
"84",247204,"https://sofifa.com/player/247204/emerson-leite-de-souza/20/159586","Emerson",20,181,79,"Brazil","Real Betis",71,83,3900000,9000,"RB","Right",3,3,"High/Medium",8900000,"","RB",22,"","2019-07-02",2021,82,56,61,67,67,73,NA,NA,NA,NA,NA,NA,"",67,48,64,66,44,67,54,47,58,66,81,82,71,69,61,72,72,74,71,60,77,67,64,54,48,64,62,69,74,11,13,9,10,13
"85",225793,"https://sofifa.com/player/225793/ben-godfrey/20/159586","B. Godfrey",21,183,74,"England","Norwich City",71,82,3800000,18000,"CB, CDM","Right",3,2,"Medium/High",8300000,"","LCB",4,"","2016-01-15",2023,74,44,58,64,68,77,NA,NA,NA,NA,NA,NA,"",47,35,64,69,40,60,39,33,63,67,72,76,67,68,68,53,79,73,81,55,70,66,46,56,44,68,70,69,70,7,6,12,14,11
"86",226508,"https://sofifa.com/player/226508/greg-taylor/20/159586","G. Taylor",21,174,62,"Scotland","Kilmarnock",71,82,3700000,4000,"LB, CM, LM","Left",3,2,"Medium/Medium",7200000,"","LB",3,"","2014-07-01",2021,77,51,67,67,67,78,NA,NA,NA,NA,NA,NA,"Inflexible, Injury Prone, Dives Into Tackles (CPU AI Only), Early Crosser",67,45,54,72,46,63,57,61,68,67,76,78,81,68,81,64,73,84,73,48,85,69,55,60,59,67,69,68,70,9,14,13,12,9
"87",235658,"https://sofifa.com/player/235658/victor-nelsson/20/159586","V. Nelsson",20,185,78,"Denmark","FC København",71,82,3800000,9000,"CB","Right",3,2,"Low/High",5600000,"","RCB",25,"","2019-07-05",2024,65,39,60,60,71,76,NA,NA,NA,NA,NA,NA,"Avoids Using Weaker Foot",49,33,68,68,36,56,41,35,66,64,64,66,58,63,68,52,73,75,80,41,67,67,38,62,37,70,74,72,67,10,6,12,7,14
"88",244204,"https://sofifa.com/player/244204/nikola-katic/20/159586","N. Katić",22,194,80,"Croatia","Rangers FC",71,81,3500000,24000,"CB","Right",2,2,"Medium/Medium",7000000,"","LCB",19,"","2018-06-12",2022,71,33,45,59,69,75,NA,NA,NA,NA,NA,NA,"Injury Prone",29,27,73,60,26,57,27,26,56,61,70,72,57,65,59,43,73,67,78,37,76,66,28,35,33,67,68,70,71,9,7,12,14,13
"89",245209,"https://sofifa.com/player/245209/michal-sadilek/20/159586","M. Sadílek",20,169,65,"Czech Republic","PSV",71,81,3600000,7000,"CDM, LB","Left",4,3,"Medium/High",5700000,"","LB",32,"","2016-03-13",2022,74,59,66,69,67,74,NA,NA,NA,NA,NA,NA,"",61,55,58,74,50,64,67,65,65,72,76,73,75,66,84,65,78,82,67,66,78,72,59,60,61,64,67,66,64,7,15,9,14,15
"90",222045,"https://sofifa.com/player/222045/craig-halkett/20/159586","C. Halkett",24,183,75,"Scotland","Heart of Midlothian",71,80,3300000,5000,"CB","Right",4,2,"Medium/High",6500000,"","RCB",26,"","2019-07-01",2022,63,54,50,52,70,76,NA,NA,NA,NA,NA,NA,"",43,59,79,61,40,45,52,63,59,60,65,61,57,60,65,53,91,70,80,43,70,74,54,27,70,60,68,69,64,10,11,7,14,9
"91",225034,"https://sofifa.com/player/225034/michele-somma/20/159586","M. Somma",24,182,77,"Italy","Deportivo de La Coruña",71,80,3300000,5000,"CB, RB","Right",3,2,"Low/Medium",6000000,"","LCB",3,"","2018-08-23",2020,65,33,53,59,71,72,NA,NA,NA,NA,NA,NA,"",53,24,71,61,37,57,36,24,53,60,68,63,61,66,64,51,80,69,74,39,68,68,24,50,20,61,72,72,73,11,7,15,10,8
"92",243988,"https://sofifa.com/player/243988/alejandro-diez-salomon/20/159586","Álex Díez",23,173,64,"Spain","Extremadura UD",71,80,3300000,4000,"RB, RM","Right",3,3,"High/Medium",5700000,"","RB",2,"","2017-07-01",2020,80,35,63,70,66,60,NA,NA,NA,NA,NA,NA,"Inflexible, Dives Into Tackles (CPU AI Only)",75,30,51,63,31,71,73,74,36,69,80,80,70,67,75,40,60,82,47,32,65,70,68,65,45,65,66,67,68,7,9,9,13,8
"93",219585,"https://sofifa.com/player/219585/martin-valjent/20/159586","M. Valjent",23,186,83,"Slovakia","RCD Mallorca",71,78,3000000,12000,"CB, RB","Right",2,2,"Medium/Medium",7200000,"","RCB",24,"","2019-07-01",2022,69,36,55,65,71,74,NA,NA,NA,NA,NA,NA,"",39,25,71,67,40,62,54,30,57,66,70,68,74,66,67,49,79,84,69,47,73,62,52,53,26,56,71,76,71,8,15,13,9,10
"94",233409,"https://sofifa.com/player/233409/robert-gumny/20/159586","R. Gumny",21,177,61,"Poland","Lech Poznań",70,84,3600000,4000,"RB","Right",3,2,"High/High",7200000,"","RB",2,"","2016-01-01",2021,88,36,60,68,64,67,NA,NA,NA,NA,NA,NA,"Early Crosser",64,28,50,67,46,66,53,31,52,69,92,84,78,61,75,47,66,85,68,38,43,68,53,57,38,66,62,69,65,11,6,13,12,6
"95",241629,"https://sofifa.com/player/241629/rogerio-oliveira-da-silva/20/159586","Rogério",21,178,70,"Brazil","Sassuolo",70,83,3100000,16000,"LB, LM","Left",3,3,"Medium/Medium",7600000,"","LB",6,"","2019-07-01",2022,76,53,65,72,67,61,NA,NA,NA,NA,NA,NA,"",73,45,60,64,53,74,56,60,60,72,79,74,71,69,64,59,66,64,57,59,66,65,65,66,55,68,69,68,69,11,7,8,8,10
"96",233476,"https://sofifa.com/player/233476/blas-riveros/20/159586","B. Riveros",21,178,68,"Paraguay","FC Basel 1893",70,82,2900000,9000,"LB","Left",3,3,"High/Medium",4900000,"","LB",15,"","2016-07-01",2021,84,36,58,75,63,71,NA,NA,NA,NA,NA,NA,"",74,25,42,66,25,74,54,32,59,74,85,84,84,66,77,44,73,84,71,48,54,57,66,34,40,63,71,65,66,12,7,8,15,9
"97",237000,"https://sofifa.com/player/237000/reggie-cannon/20/159586","R. Cannon",21,180,75,"United States","FC Dallas",70,82,2900000,3000,"RB","Right",3,2,"High/High",4900000,"#Speedster, #Engine","RB",2,"","2016-12-22",2020,90,35,57,67,65,74,NA,NA,NA,NA,NA,NA,"",57,29,56,63,33,66,58,21,59,64,89,91,82,61,75,48,80,87,71,31,64,63,60,56,33,59,65,69,66,6,14,10,6,11
"98",244380,"https://sofifa.com/player/244380/vitaliy-mykolenko/20/159586","V. Mykolenko",20,180,71,"Ukraine","Dynamo Kyiv",70,82,2900000,1000,"LB","Left",2,2,"Medium/Medium",7000000,"","LB",16,"","2017-07-01",2019,74,38,58,56,66,60,NA,NA,NA,NA,NA,NA,"",72,44,52,68,27,47,32,32,55,64,73,74,66,67,67,27,62,75,57,39,47,67,41,44,35,53,68,67,70,9,8,14,9,14
"99",224494,"https://sofifa.com/player/224494/rico-henry/20/159586","R. Henry",21,170,66,"England","Brentford",70,80,2600000,15000,"LWB, LB","Left",2,3,"High/High",5500000,"#Speedster, #Acrobat","LWB",3,"","2016-08-31",2021,91,40,59,72,64,67,NA,NA,NA,NA,NA,NA,"Power Free-Kick, Early Crosser",63,40,35,67,33,69,48,39,50,69,92,90,91,64,88,43,92,66,61,34,76,69,65,54,43,64,65,70,66,13,12,12,6,12
"100",226260,"https://sofifa.com/player/226260/andrea-cistana/20/159586","A. Cistana",22,177,78,"Italy","Brescia",70,80,2600000,7000,"CB","Right",3,2,"Medium/High",5200000,"","LCB",15,"","2014-07-01",2020,68,42,54,60,70,67,NA,NA,NA,NA,NA,NA,"",51,35,69,61,39,57,51,39,55,61,66,70,69,68,67,60,78,67,65,40,70,70,44,50,40,58,70,71,71,16,10,15,7,15
"101",229991,"https://sofifa.com/player/229991/francisco-jose-villalba-rodrigo/20/159586","Fran Villalba",21,168,65,"Spain","Birmingham City",70,80,2900000,7000,"LM, CM","Right",3,3,"Medium/Medium",6000000,"","LWB",17,"","2019-08-07",2022,60,62,71,76,48,39,NA,NA,NA,NA,NA,NA,"Crowd Favourite",66,66,37,72,51,77,74,73,69,74,64,56,72,68,91,48,38,55,31,68,38,52,64,72,57,64,51,49,39,9,10,14,5,14
"102",219091,"https://sofifa.com/player/219091/juan-fuentes/20/159586","J. Fuentes",24,175,72,"Chile","Estudiantes de La Plata",70,79,2500000,8000,"CB, CDM","Right",3,2,"Medium/Medium",4200000,"","LCB",30,"","2019-07-24",2023,70,53,61,62,68,79,NA,NA,NA,NA,NA,NA,"Injury Prone",54,48,60,70,49,59,46,50,69,63,69,70,66,67,72,63,79,84,77,59,80,69,47,53,45,67,72,67,65,12,11,9,12,9
"103",230708,"https://sofifa.com/player/230708/joe-worrall/20/159586","J. Worrall",22,190,90,"England","Nottingham Forest",70,79,2500000,18000,"CB","Right",2,2,"Medium/Medium",5200000,"","LCB",4,"","2015-07-01",2020,53,25,45,41,70,74,NA,NA,NA,NA,NA,NA,"Avoids Using Weaker Foot, Giant Throw-in",39,20,73,58,30,35,27,29,52,46,51,54,43,62,46,34,74,65,81,22,70,69,27,30,35,62,69,71,72,11,11,5,9,14
"104",244206,"https://sofifa.com/player/244206/nehuen-perez/20/159586","N. Pérez",19,186,75,"Argentina","Famalicão",70,79,2400000,3000,"CB","Right",3,2,"Medium/Medium",NA,"","RCB",18,"Atlético Madrid","",2020,63,25,40,38,70,60,NA,NA,NA,NA,NA,NA,"",21,21,66,65,22,18,21,32,42,58,65,61,48,75,55,42,69,41,63,16,72,71,18,22,40,51,65,75,72,9,8,8,9,6
"105",224423,"https://sofifa.com/player/224423/maximilian-wittek/20/159586","M. Wittek",23,173,70,"Germany","SpVgg Greuther Fürth",70,78,2300000,5000,"LB, LWB","Left",2,3,"High/Medium",4100000,"","LB",3,"","2017-07-01",2020,78,62,65,69,65,68,NA,NA,NA,NA,NA,NA,"Argues with Officials",78,56,58,67,56,66,80,78,57,69,79,77,80,63,84,77,67,82,59,70,72,64,59,49,42,66,65,65,69,15,12,12,13,7
"106",227174,"https://sofifa.com/player/227174/matty-cash/20/159586","M. Cash",21,179,64,"England","Nottingham Forest",70,78,2600000,17000,"RM, LM, RB","Right",3,3,"High/High",5500000,"","RB",11,"","2014-10-12",2021,82,63,65,70,57,62,NA,NA,NA,NA,NA,NA,"Early Crosser",67,67,42,66,48,69,64,48,64,68,80,83,86,65,67,62,63,85,54,64,53,63,58,67,44,70,50,62,63,15,16,13,13,8
"107",227600,"https://sofifa.com/player/227600/joel-andersson/20/159586","J. Andersson",22,177,71,"Sweden","FC Midtjylland",70,78,2300000,10000,"RWB, LWB","Right",4,3,"High/Medium",3500000,"","RWB",6,"","2018-07-02",2023,81,45,64,68,61,66,NA,NA,NA,NA,NA,NA,"",66,42,39,68,46,64,67,41,61,68,80,82,82,68,78,54,63,80,58,40,70,65,63,60,45,66,62,65,64,7,13,6,13,13
"108",231588,"https://sofifa.com/player/231588/joan-sastre-vanrell/20/159586","Joan Sastre",22,174,75,"Spain","RCD Mallorca",70,78,2300000,11000,"RB, LB","Right",3,2,"Medium/Medium",5600000,"","RB",2,"","2015-07-01",2023,76,36,55,66,69,61,NA,NA,NA,NA,NA,NA,"",67,36,62,67,31,65,40,40,37,70,74,77,61,65,63,34,57,68,60,31,58,67,49,44,61,62,69,71,70,10,13,15,15,9
"109",234679,"https://sofifa.com/player/234679/philippe-sandler/20/159586","P. Sandler",22,190,82,"Netherlands","RSC Anderlecht",70,78,2400000,9000,"CB","Right",3,2,"High/Medium",NA,"","RCB",34,"Manchester City","",2020,65,39,62,69,70,69,NA,NA,NA,NA,NA,NA,"Inflexible",32,23,68,72,28,71,62,70,70,70,64,65,64,62,55,63,71,61,74,52,66,65,40,66,46,68,69,74,68,12,13,15,13,11
"110",235036,"https://sofifa.com/player/235036/wout-faes/20/159586","W. Faes",21,187,82,"Belgium","KV Oostende",70,78,2400000,6000,"CB, CDM","Right",3,2,"Medium/Medium",4100000,"","LCB",4,"","2018-07-01",2021,62,33,51,56,69,73,NA,NA,NA,NA,NA,NA,"",31,29,70,68,23,52,21,35,64,63,64,60,47,63,66,46,70,65,78,26,72,65,38,42,42,66,70,69,71,12,10,8,7,7
"111",237122,"https://sofifa.com/player/237122/tomas-guidara/20/159586","T. Guidara",23,173,68,"Argentina","Vélez Sarsfield",70,78,2300000,7000,"RB","Right",2,3,"Medium/High",4000000,"","RB",24,"","2019-07-01",2022,78,40,58,70,66,78,NA,NA,NA,NA,NA,NA,"Inflexible",58,32,52,72,37,70,44,34,53,67,76,79,75,68,81,55,65,85,74,38,82,69,54,49,40,59,62,71,67,5,14,8,15,9
"112",239363,"https://sofifa.com/player/239363/kouadio-yves-dabila/20/159586","K. Dabila",22,183,80,"Ivory Coast","KSV Cercle Brugge",70,78,2400000,7000,"CB, RB","Right",3,2,"Medium/Medium",NA,"","LCB",22,"LOSC Lille","",2020,54,31,47,53,71,68,NA,NA,NA,NA,NA,NA,"",33,25,65,68,32,51,38,31,48,58,53,54,42,61,64,48,69,63,69,27,69,70,27,32,41,62,69,75,74,12,7,15,15,7
"113",225147,"https://sofifa.com/player/225147/connor-roberts/20/159586","C. Roberts",23,175,71,"Wales","Swansea City",70,77,2200000,12000,"RB, LB","Right",4,3,"High/Medium",4700000,"","RB",23,"","2014-04-15",2022,69,38,62,66,68,66,NA,NA,NA,NA,NA,NA,"",68,35,53,71,20,66,38,18,58,64,72,67,71,66,70,43,61,83,62,36,58,69,61,58,41,50,68,72,67,6,12,8,12,13
"114",229487,"https://sofifa.com/player/229487/lukas-klunter/20/159586","L. Klünter",23,184,76,"Germany","Hertha BSC",70,77,2200000,11000,"RB, CB","Right",3,3,"High/Medium",4200000,"","RB",13,"","2018-07-01",2022,87,48,56,67,67,65,NA,NA,NA,NA,NA,NA,"",65,60,62,66,25,66,38,29,55,68,86,88,71,66,65,49,60,72,63,25,60,67,44,43,49,59,66,69,65,10,5,12,14,6
"115",242041,"https://sofifa.com/player/242041/mohamed-drager/20/159586","M. Dräger",23,180,74,"Tunisia","SC Paderborn 07",70,77,2200000,10000,"RB, RM","Right",3,3,"High/Medium",NA,"","RB",25,"SC Freiburg","",2020,86,60,59,69,65,62,NA,NA,NA,NA,NA,NA,"",65,57,62,63,58,67,52,48,54,68,86,86,80,70,76,62,49,69,56,63,70,66,59,56,63,54,63,67,66,12,9,8,9,10
"116",244591,"https://sofifa.com/player/244591/jayden-bogle/20/159586","J. Bogle",18,178,69,"England","Derby County",69,84,2000000,4000,"RB","Right",3,3,"High/Medium",5100000,"","RB",37,"","2018-07-01",2022,80,43,62,72,66,61,NA,NA,NA,NA,NA,NA,"",69,41,50,67,31,73,51,35,55,70,83,77,74,63,72,49,60,67,55,40,67,65,70,60,34,66,65,72,65,15,10,11,7,6
"117",236316,"https://sofifa.com/player/236316/yan-valery/20/159586","Y. Valery",20,180,70,"France","Southampton",69,82,1900000,15000,"RWB, RB","Right",3,3,"High/High",4700000,"","RWB",43,"","2016-08-01",2023,71,48,57,65,69,71,NA,NA,NA,NA,NA,NA,"",64,42,56,61,34,66,43,41,55,65,73,70,61,67,67,58,52,74,69,53,77,66,57,53,41,61,70,74,66,12,14,7,11,14
"118",252000,"https://sofifa.com/player/252000/domagoj-bradaric/20/159586","D. Bradarić",19,178,69,"Croatia","LOSC Lille",69,82,1800000,8000,"LB","Left",3,3,"High/Medium",4600000,"","LB",29,"","2019-07-19",2024,77,47,63,71,63,61,NA,NA,NA,NA,NA,NA,"",72,44,56,66,39,71,60,38,58,72,78,77,69,67,70,51,57,68,55,46,68,64,64,61,43,66,62,66,66,11,10,13,13,6
